Month,Relative Search Frequency
2004-01,42
2004-02,34
2004-03,41
2004-04,45
2004-05,35
2004-06,38
2004-07,39
2004-08,45
2004-09,42
2004-10,30
2004-11,33
2004-12,36
2005-01,30
2005-02,25
2005-03,48
2005-04,33
2005-05,35
2005-06,36
2005-07,34
2005-08,33
2005-09,41
2005-10,39
2005-11,35
2005-12,26
2006-01,34
2006-02,34
2006-03,35
2006-04,37
2006-05,33
2006-06,36
2006-07,34
2006-08,32
2006-09,26
2006-10,32
2006-11,32
2006-12,31
2007-01,35
2007-02,29
2007-03,34
2007-04,33
2007-05,34
2007-06,30
2007-07,32
2007-08,33
2007-09,27
2007-10,31
2007-11,28
2007-12,26
2008-01,35
2008-02,32
2008-03,28
2008-04,36
2008-05,34
2008-06,31
2008-07,34
2008-08,33
2008-09,30
2008-10,33
2008-11,32
2008-12,30
2009-01,38
2009-02,29
2009-03,31
2009-04,36
2009-05,35
2009-06,31
2009-07,35
2009-08,32
2009-09,35
2009-10,34
2009-11,36
2009-12,34
2010-01,31
2010-02,36
2010-03,36
2010-04,34
2010-05,32
2010-06,31
2010-07,39
2010-08,37
2010-09,38
2010-10,37
2010-11,34
2010-12,38
2011-01,37
2011-02,41
2011-03,42
2011-04,41
2011-05,41
2011-06,41
2011-07,40
2011-08,38
2011-09,42
2011-10,46
2011-11,41
2011-12,40
2012-01,45
2012-02,43
2012-03,44
2012-04,47
2012-05,48
2012-06,48
2012-07,51
2012-08,48
2012-09,52
2012-10,50
2012-11,49
2012-12,47
2013-01,48
2013-02,50
2013-03,51
2013-04,48
2013-05,52
2013-06,50
2013-07,51
2013-08,53
2013-09,54
2013-10,48
2013-11,51
2013-12,47
2014-01,51
2014-02,53
2014-03,58
2014-04,62
2014-05,53
2014-06,55
2014-07,57
2014-08,58
2014-09,59
2014-10,58
2014-11,54
2014-12,52
2015-01,60
2015-02,64
2015-03,64
2015-04,64
2015-05,60
2015-06,66
2015-07,67
2015-08,70
2015-09,70
2015-10,70
2015-11,69
2015-12,67
2016-01,58
2016-02,60
2016-03,62
2016-04,66
2016-05,61
2016-06,64
2016-07,64
2016-08,62
2016-09,65
2016-10,67
2016-11,66
2016-12,65
2017-01,71
2017-02,69
2017-03,71
2017-04,76
2017-05,74
2017-06,76
2017-07,77
2017-08,81
2017-09,80
2017-10,87
2017-11,85
2017-12,77
2018-01,85
2018-02,84
2018-03,90
2018-04,90
2018-05,87
2018-06,90
2018-07,86
2018-08,93
2018-09,92
2018-10,100
2018-11,92