Country,Relative Search Frequency
Canada,100
United States,96
New Zealand,93
Spain,87
Puerto Rico,79
Serbia,57
Netherlands,56
Chile,45
Costa Rica,43
Germany,32
Belgium,32
Argentina,31
Singapore,29
United Kingdom,29
Portugal,28
Colombia,28
Thailand,28
Italy,25
Hong Kong,21
Australia,21
Switzerland,21
Mexico,18
Ireland,17
Malaysia,17
Taiwan,17
South Africa,14
Austria,14
Finland,12
India,10
Romania,10
Brazil,10
France,10
Sweden,9
Israel,9
Saudi Arabia,7
Philippines,7
Peru,7
Venezuela,7
Indonesia,4
Poland,4
Turkey,1